icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model,typecode,registration,departure_time,arrival_time,departure_weather,arrival_weather,distance_km,fuel_burn_kg,co2_emissions_kg,weather_penalty_score,fuel_burn_kg_adjusted,co2_emissions_kg_adjusted,fuel_burn_kg_modeled,co2_emissions_kg_modeled,wind_direction_deg,wind_speed_kt,weather_penalty_factor,weather_adjusted_fuel_burn_kg,weather_adjusted_co2_emissions_kg
89642b,1662071502.0,0.0,1662074584,0.0,ETD1SX  ,OMAA,Unknown,Unknown,Unknown,A321 231SL,A321,A6-AEF,1662071502.0,1662074584.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,4391.679326226044,19762.5569680172,62449.68001893436,0.05,20750.684816418063,65572.16401988108,19762.5569680172,62449.68001893436,290.0,14.0,0.02,20157.808107377547,63698.67361931305
896597,1662056265.0,0.0,1662057673,0.0,ETD206  ,OMAA,Unknown,Unknown,Unknown,A350-1041,A359,A6-XWB,1662056265.0,1662057673.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6206.252427490964,27928.13592370934,88252.90951892151,0.05,29324.542719894805,92665.5549948676,27928.13592370934,88252.90951892151,290.0,14.0,0.02,28486.698642183524,90017.96770929995
89627b,1662069976.0,0.0,1662073709,0.0,ETD313  ,OMAA,Unknown,Unknown,Unknown,A321 232SL,A321,A6-AED,1662069976.0,1662073709.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6921.949039771157,31148.77067897021,98430.11534554586,0.05,32706.20921291872,103351.62111282317,31148.77067897021,98430.11534554586,290.0,14.0,0.02,31771.746092549616,100398.71765245679
89650a,1662032907.0,0.0,1662049132,0.0,ETD9855 ,Unknown,Unknown,Unknown,Unknown,Boeing 777-F,Unknown,A6-DDF,1662032907.0,1662049132.0,No Weather Info,No Weather Info,4778.434973875511,21502.9573824398,67949.34532850976,0.0,21502.9573824398,67949.34532850976,21502.9573824398,67949.34532850976,,,0.0,21502.9573824398,67949.34532850976
8964fe,1662061168.0,0.0,1662061978,0.0,ETD288  ,OMAA,Unknown,Unknown,Unknown,787-10 Dreamliner ,B78X,A6-BMC ,1662061168.0,1662061978.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6974.925899174625,31387.16654628581,99183.44628626316,0.05,32956.5248736001,104142.61860057632,31387.16654628581,99183.44628626316,290.0,14.0,0.02,32014.90987721153,101167.11521198844
8963a9,1662064519.0,0.0,1662065984,0.0,ETD622  ,OMAA,Unknown,Unknown,Unknown,A320 232SL,A320,A6-EIX,1662064519.0,1662065984.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3858.882039084383,17364.96917587972,54873.30259577992,0.05,18233.217634673707,57616.96772556892,17364.969175879723,54873.302595779925,290.0,14.0,0.02,17712.26855939732,55970.76864769553
8964c3,1662066988.0,0.0,1662067824,0.0,ETD278  ,OMAA,Unknown,Unknown,Unknown,B787-9,Unknown,A6-BLS,1662066988.0,1662067824.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,2077.560585319736,9349.02263393881,29542.91152324664,0.05,9816.47376563575,31020.05709940897,9349.022633938814,29542.911523246654,290.0,14.0,0.02,9536.00308661759,30133.769753711586
896464,1662058863.0,0.0,1662067139,0.0,ETD72K  ,Unknown,Unknown,Unknown,Unknown,B787-9,B789,A6-BLF,1662058863.0,1662067139.0,No Weather Info,No Weather Info,2365.803836736369,10646.11726531366,33641.730558391166,0.0,10646.11726531366,33641.730558391166,10646.11726531366,33641.730558391166,,,0.0,10646.11726531366,33641.730558391166
8964fd,1662059272.0,0.0,1662060193,0.0,ETD280  ,OMAA,Unknown,Unknown,Unknown,787-10 Dreamliner,B78X,A6-BMB,1662059272.0,1662060193.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3544.1463865750698,15948.658739587814,50397.76161709749,0.05,16746.091676567205,52917.649697952365,15948.658739587814,50397.76161709749,290.0,14.0,0.02,16267.63191437957,51405.71684943944
896535,1662059980.0,0.0,1662060807,0.0,ETD5FJ  ,OMAD,Unknown,Unknown,Unknown,787-9 Dreamliner,B789,A6-BLX,1662059980.0,1662060807.0,"OMAD 091100Z 31011KT CAVOK 31/18 Q1009 NOSIG,OMAD,2025-04-09T11:00:00Z,24.428,54.458,31,18,310,11,,6+,29.79,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9",No Weather Info,2074.618990660027,9335.785457970122,29501.082047185584,0.05,9802.574730868628,30976.136149544865,9335.785457970122,29501.082047185584,310.0,11.0,0.02,9522.501167129523,30091.103688129297
89643d,1662071963.0,0.0,1662075929,0.0,ETD315  ,OMAA,Unknown,OERK,Unknown,A321 231SL,A321,A6-AEG,1662071963.0,1662075929.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OERK 091100Z 24004KT CAVOK 38/02 Q1015 NOSIG,OERK,2025-04-09T11:00:00Z,24.945,46.702,38,2,240,4,,6+,29.97,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,618",4789.1929245681895,21551.368160556853,68102.32338735966,0.05,22628.936568584697,71507.43955672765,21551.368160556853,68102.32338735966,290.0,14.0,0.02,21982.39552376799,69464.36985510685
896441,1662046405.0,0.0,1662073010,0.0,ETD925  ,Unknown,Unknown,Unknown,Unknown,777 FFX,B77L,A6-DDD,1662046405.0,1662073010.0,No Weather Info,No Weather Info,5397.216902855278,24287.47606284875,76748.42435860205,0.0,24287.47606284875,76748.42435860205,24287.47606284875,76748.42435860205,,,0.0,24287.47606284875,76748.42435860205
89648a,1662022574.0,0.0,1662047126,0.0,ETD23N  ,EIDW,Unknown,OMAA,Unknown,Boeing 787 9,B789,A6-BLJ,1662022574.0,1662047126.0,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2190.120637090872,9855.542866908923,31143.515459432205,0.05,10348.320010254372,32700.691232403817,9855.542866908923,31143.515459432205,60.0,8.0,0.0,9855.542866908923,31143.515459432198
89648a,1661996289.0,0.0,1662010603,1662010596.0,ETD72E  ,Unknown,OMAA,EIDW,EIDW,Boeing 787 9,B789,A6-BLJ,1661996289.0,1662010596.0,No Weather Info,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75",6352.278416763722,28585.25287543675,90329.39908638012,0.0,28585.25287543675,90329.39908638012,28585.25287543675,90329.39908638012,,,0.0,28585.25287543675,90329.39908638013
8964f9,1662020221.0,0.0,1662055062,0.0,ETD871  ,Unknown,Unknown,OMAA,Unknown,787-9 Dreamliner,B789,A6-BLT,1662020221.0,1662055062.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4901.422174164907,22056.399783742083,69698.22331662498,0.0,22056.399783742083,69698.22331662498,22056.399783742083,69698.22331662498,,,0.0,22056.399783742083,69698.22331662498
8964f9,1661993956.0,0.0,1662002842,0.0,ETD878  ,Unknown,Unknown,RJAK,Unknown,787-9 Dreamliner,B789,A6-BLT,1661993956.0,1662002842.0,No Weather Info,No Weather Info,3310.855058427512,14898.847762923802,47080.35893083922,0.0,14898.847762923802,47080.35893083922,14898.847762923804,47080.358930839226,,,0.0,14898.847762923804,47080.358930839226
896397,1662042990.0,1662042825.0,1662058984,1662058982.0,ETD177C ,LGAV,LGAV,OMAA,OMAA,A320 232SL,A320,A6-EIV,1662042825.0,1662058982.0,"LGAV 091120Z 05013KT 9999 FEW018 BKN030 BKN070 10/02 Q1021 NOSIG,LGAV,2025-04-09T11:20:00Z,37.936,23.945,10,2,50,13,,6+,30.15,,,,,,TRUE,,,,,FEW,1800,BKN,3000,BKN,7000,,,MVFR,,,,,,,,,,,,METAR,83","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5891.038914794859,26509.675116576866,83770.5733683829,0.05,27835.15887240571,87959.10203680205,26509.675116576866,83770.5733683829,50.0,13.0,0.02,27039.868618908404,85445.98483575055
896397,1662013418.0,1662013386.0,1662027116,0.0,ETD177A ,OMAA,OMAA,Unknown,LGSR,A320 232SL,A320,A6-EIV,1662013386.0,1662027116.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3117.595708482399,14029.180688170796,44332.21097461972,0.05,14730.639722579335,46548.82152335071,14029.180688170796,44332.21097461972,290.0,14.0,0.02,14309.764301934212,45218.85519411211
