icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model,typecode,registration,departure_time,arrival_time,departure_weather,arrival_weather,distance_km,fuel_burn_kg,co2_emissions_kg,weather_penalty_score,fuel_burn_kg_adjusted,co2_emissions_kg_adjusted,fuel_burn_kg_modeled,co2_emissions_kg_modeled,wind_direction_deg,wind_speed_kt,weather_penalty_factor,weather_adjusted_fuel_burn_kg,weather_adjusted_co2_emissions_kg,expected_flight_duration_sec,actual_flight_duration_sec,duration_deviation_ratio,deviation_type,deviation_flag,distance_penalty_km,predicted_fuel_burn_kg,anomaly_score,model_confidence,shap_top_feature,ASK,RPK,esg_match_percent,route_efficiency_score,weather_penalty_index,fuel_savings_if_alt_route
89642b,1662071502.0,0.0,1662074584,0.0,ETD1SX  ,OMAA,Unknown,Unknown,Unknown,A321 231SL,A321,A6-AEF,1662071502.0,1662074584.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,4391.679326226044,19762.5569680172,62449.68001893436,0.05,20750.684816418063,65572.16401988108,19762.5569680172,62449.68001893436,290.0,14.0,0.02,20157.808107377547,63698.67361931305,18600.053616957364,3082.0,0.1656984470835176,Shortened Flight (Possible Direct Routing),1,0.0,20146.0676208389,0.0005827681490804,0.9994871490484888,distance_km,1097919.831556511,878335.865245209,95.0,0.8578547929800527,2.0,0.0
896597,1662056265.0,0.0,1662057673,0.0,ETD206  ,OMAA,Unknown,Unknown,Unknown,A350-1041,A359,A6-XWB,1662056265.0,1662057673.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6206.252427490964,27928.13592370934,88252.90951892151,0.05,29324.542719894805,92665.5549948676,27928.13592370934,88252.90951892151,290.0,14.0,0.02,28486.698642183524,90017.96770929995,26285.30439878525,1408.0,0.0535660526748577,Shortened Flight (Possible Direct Routing),1,0.0,28485.089405006194,5.649401883384627e-05,0.9994871490484888,distance_km,1551563.106872741,1241250.4854981927,95.0,0.9491573854920049,2.0,0.0
89627b,1662069976.0,0.0,1662073709,0.0,ETD313  ,OMAA,Unknown,Unknown,Unknown,A321 232SL,A321,A6-AED,1662069976.0,1662073709.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6921.949039771157,31148.77067897021,98430.11534554586,0.05,32706.20921291872,103351.62111282317,31148.77067897021,98430.11534554586,290.0,14.0,0.02,31771.746092549616,100398.7176524568,29316.490050795488,3733.0,0.1273344794527579,Shortened Flight (Possible Direct Routing),1,0.0,31772.319431264517,1.8045226951022344e-05,0.9994871490484888,distance_km,1730487.2599427893,1384389.8079542315,95.0,0.8870481815524974,2.0,0.0
89650a,1662032907.0,0.0,1662049132,0.0,ETD9855 ,Unknown,Unknown,Unknown,Unknown,Boeing 777-F,Unknown,A6-DDF,1662032907.0,1662049132.0,No Weather Info,No Weather Info,4778.434973875511,21502.9573824398,67949.34532850976,0.0,21502.9573824398,67949.34532850976,21502.9573824398,67949.34532850976,,0.0,0.0,21502.9573824398,67949.34532850976,20238.07753641393,16225.0,0.8017065835826902,Normal,0,0.0,21502.70041758072,1.1950352936754232e-05,0.9994871490484888,distance_km,1194608.7434688776,955686.9947751021,100.0,0.5550293311419786,0.0,0.0
8964fe,1662061168.0,0.0,1662061978,0.0,ETD288  ,OMAA,Unknown,Unknown,Unknown,787-10 Dreamliner ,B78X,A6-BMC ,1662061168.0,1662061978.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,6974.925899174625,31387.16654628581,99183.44628626316,0.05,32956.5248736001,104142.61860057632,31387.16654628581,99183.44628626316,290.0,14.0,0.02,32014.90987721153,101167.11521198844,29540.862631798413,810.0,0.0274196461388401,Shortened Flight (Possible Direct Routing),1,0.0,32015.390834390637,1.5022686482030854e-05,0.9994871490484888,distance_km,1743731.4747936563,1394985.179834925,95.0,0.9733121259245079,2.0,0.0
8963a9,1662064519.0,0.0,1662065984,0.0,ETD622  ,OMAA,Unknown,Unknown,Unknown,A320 232SL,A320,A6-EIX,1662064519.0,1662065984.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3858.882039084383,17364.96917587972,54873.30259577992,0.05,18233.217634673707,57616.96772556892,17364.969175879723,54873.302595779925,290.0,14.0,0.02,17712.26855939732,55970.76864769553,16343.500400827976,1465.0,0.0896380802196928,Shortened Flight (Possible Direct Routing),1,0.0,17712.56905232823,1.6964954661417097e-05,0.9994871490484888,distance_km,964720.5097710957,771776.4078168767,95.0,0.9177359144775667,2.0,0.0
8964c3,1662066988.0,0.0,1662067824,0.0,ETD278  ,OMAA,Unknown,Unknown,Unknown,B787-9,Unknown,A6-BLS,1662066988.0,1662067824.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,2077.560585319736,9349.02263393881,29542.91152324664,0.05,9816.47376563575,31020.05709940897,9349.022633938814,29542.911523246654,290.0,14.0,0.02,9536.00308661759,30133.769753711586,8799.08012606006,836.0,0.0950099314954566,Shortened Flight (Possible Direct Routing),1,0.0,9526.90094257424,0.0009554149978271,0.9994871490484888,distance_km,519390.14632993407,415512.11706394725,95.0,0.9132337262314129,2.0,0.0
896464,1662058863.0,0.0,1662067139,0.0,ETD72K  ,Unknown,Unknown,Unknown,Unknown,B787-9,B789,A6-BLF,1662058863.0,1662067139.0,No Weather Info,No Weather Info,2365.803836736369,10646.11726531366,33641.730558391166,0.0,10646.11726531366,33641.730558391166,10646.11726531366,33641.730558391166,,0.0,0.0,10646.11726531366,33641.730558391166,10019.875073236386,8276.0,0.825958401627744,Normal,0,0.0,10649.81083133622,0.0003468198713626,0.9994871490484888,distance_km,591450.9591840922,473160.7673472738,100.0,0.5476576022260713,0.0,0.0
8964fd,1662059272.0,0.0,1662060193,0.0,ETD280  ,OMAA,Unknown,Unknown,Unknown,787-10 Dreamliner,B78X,A6-BMB,1662059272.0,1662060193.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3544.1463865750698,15948.658739587814,50397.76161709749,0.05,16746.091676567205,52917.649697952365,15948.658739587814,50397.76161709749,290.0,14.0,0.02,16267.63191437957,51405.71684943944,15010.502343141472,921.0,0.0613570404871106,Shortened Flight (Possible Direct Routing),1,0.0,16261.277524912448,0.000390768158122,0.9994871490484888,distance_km,886036.5966437674,708829.277315014,95.0,0.9421900094439937,2.0,0.0
896535,1662059980.0,0.0,1662060807,0.0,ETD5FJ  ,OMAD,Unknown,Unknown,Unknown,787-9 Dreamliner,B789,A6-BLX,1662059980.0,1662060807.0,"OMAD 091100Z 31011KT CAVOK 31/18 Q1009 NOSIG,OMAD,2025-04-09T11:00:00Z,24.428,54.458,31,18,310,11,,6+,29.79,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,9",No Weather Info,2074.618990660027,9335.785457970122,29501.082047185584,0.05,9802.574730868628,30976.136149544865,9335.785457970122,29501.082047185584,310.0,11.0,0.02,9522.501167129523,30091.103688129297,8786.62160750129,827.0,0.0941203612653554,Shortened Flight (Possible Direct Routing),1,0.0,9499.066766254706,0.0024670213876238,0.9994871490484888,distance_km,518654.7476650068,414923.79813200544,95.0,0.9139762272986998,2.0,0.0
89643d,1662071963.0,0.0,1662075929,0.0,ETD315  ,OMAA,Unknown,OERK,Unknown,A321 231SL,A321,A6-AEG,1662071963.0,1662075929.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OERK 091100Z 24004KT CAVOK 38/02 Q1015 NOSIG,OERK,2025-04-09T11:00:00Z,24.945,46.702,38,2,240,4,,6+,29.97,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,618",4789.1929245681895,21551.368160556853,68102.32338735966,0.05,22628.936568584697,71507.43955672765,21551.368160556853,68102.32338735966,290.0,14.0,0.02,21982.39552376799,69464.36985510685,20283.640621700568,3966.0,0.1955270295884138,Shortened Flight (Possible Direct Routing),1,0.0,21984.541392019437,9.760805163855364e-05,0.9994871490484888,distance_km,1197298.2311420473,957838.584913638,95.0,0.8364511844991676,2.0,0.0
